time,frequency,confidence
4.65,489.726,0.939113
4.66,488.784,0.916188
4.67,487.508,0.899744
4.68,487.284,0.906374
4.69,487.736,0.887765
4.70,488.478,0.853841
4.71,489.669,0.918389
4.72,490.449,0.917835
4.73,490.088,0.931094
4.74,488.859,0.903417
4.75,487.464,0.899077
4.76,486.310,0.909729
4.77,486.373,0.905873
4.78,486.315,0.906734
4.79,486.799,0.858231
4.80,487.010,0.870671
4.81,486.463,0.904843
4.82,485.660,0.912349
4.83,484.839,0.898079
4.84,484.142,0.885091
4.85,483.613,0.876351
4.86,484.754,0.889487
4.87,485.355,0.902691
4.88,486.017,0.910495
4.89,486.212,0.901368
4.90,485.592,0.898104
4.91,481.592,0.858260
4.92,478.451,0.894370
4.93,477.414,0.894562
4.94,477.107,0.898114
4.95,477.176,0.884330
4.96,475.891,0.855679
4.97,474.435,0.873067
4.98,472.347,0.879660
4.99,470.974,0.907682
5.00,469.787,0.912673
5.01,469.630,0.906674
5.02,468.487,0.923797
5.03,466.371,0.876316
5.04,465.025,0.837495
5.05,460.667,0.662712
5.06,456.088,0.563540
5.07,457.457,0.300778
5.08,461.169,0.263039
5.09,477.266,0.514928
5.10,482.086,0.687799
5.11,482.824,0.600183
5.12,483.753,0.644873
5.13,483.055,0.565685
5.14,483.229,0.638272
5.15,484.186,0.374325
5.16,486.234,0.282251
5.17,487.407,0.277796
5.18,486.812,0.438739
5.19,481.281,0.429831
5.20,241.338,0.207863
5.21,482.123,0.467076
5.22,480.439,0.504736
5.23,479.993,0.660977
5.24,485.807,0.490331
5.25,489.647,0.455811
5.26,247.786,0.111723
5.27,251.857,0.137582
5.28,190.060,0.140529
5.29,190.185,0.203201
5.30,285.046,0.130795
5.31,580.943,0.264594
5.32,253.067,0.123929
5.33,253.929,0.270399
5.34,290.867,0.255087
5.35,288.083,0.197636
5.36,285.925,0.249995
5.37,115.545,0.145473
5.38,242.520,0.244032
5.39,246.738,0.243036
5.40,481.258,0.558010
5.41,481.292,0.523847
5.42,159.851,0.347862
5.43,159.892,0.395496
5.44,160.205,0.339741
5.45,161.867,0.456717
5.46,159.826,0.259146
5.47,246.060,0.215702
5.48,245.959,0.221101
5.49,244.175,0.369390
5.50,243.229,0.515240
