time,frequency,confidence
4.97,1947.348,0.047577
4.98,1715.511,0.058092
4.99,1974.159,0.001803
5.00,1972.979,0.005745
5.01,1324.572,0.008642
5.02,1325.916,0.010339
5.03,1962.155,0.007245
5.04,1948.319,0.007001
5.05,1943.270,0.007520
5.06,971.478,0.008536
5.07,573.461,0.034331
5.08,1168.932,0.014429
5.09,1159.142,0.019952
5.10,572.712,0.063642
5.11,989.526,0.204978
5.12,984.389,0.104355
5.13,1968.797,0.119743
5.14,1969.455,0.315849
5.15,1975.896,0.692960
5.16,1976.222,0.759005
5.17,1971.468,0.709086
5.18,1962.143,0.230510
5.19,1947.961,0.081546
5.20,1945.869,0.141975
5.21,1949.313,0.051457
5.22,550.367,0.042414
5.23,1074.947,0.009815
5.24,1966.187,0.004364
5.25,1903.671,0.006852
5.26,1881.058,0.009801
5.27,1234.257,0.019123
5.28,1225.202,0.021059
5.29,1219.120,0.009339
5.30,1214.037,0.014538
5.31,132.012,0.024298
5.32,131.821,0.029537
5.33,132.433,0.039212
5.34,538.987,0.021521
5.35,546.538,0.072322
5.36,553.291,0.199920
5.37,1636.569,0.146534
5.38,1846.263,0.263985
5.39,1872.057,0.379093
5.40,1915.815,0.201457
5.41,1969.565,0.082030
5.42,1967.981,0.016130
5.43,1126.562,0.033901
5.44,1133.200,0.022781
5.45,569.373,0.029837
5.46,938.217,0.110056
5.47,943.507,0.218549
5.48,937.939,0.222026
5.49,313.049,0.174384
5.50,396.625,0.193470
5.51,1572.894,0.473388
5.52,1574.748,0.674276
5.53,1566.501,0.692060
5.54,1566.257,0.298207
5.55,539.299,0.019998
5.56,531.357,0.027514
5.57,566.538,0.060831
5.58,560.325,0.233125
5.59,550.812,0.197818
5.60,109.071,0.058501
5.61,1087.129,0.115992
5.62,1097.558,0.037354
5.63,1099.416,0.036755
5.64,1096.996,0.053621
5.65,1096.788,0.059622
5.66,1087.993,0.029413
5.67,134.327,0.028197
5.68,548.815,0.030626
5.69,553.859,0.132107
5.70,1641.215,0.149242
5.71,1640.420,0.227291
5.72,1846.572,0.224364
5.73,1973.705,0.224887
5.74,1978.233,0.216160
5.75,1983.812,0.111589
5.76,1053.200,0.066835
5.77,1043.278,0.040312
5.78,1034.256,0.058748
5.79,941.251,0.151012
5.80,1033.957,0.261497
5.81,313.243,0.153353
5.82,399.112,0.107195
5.83,1575.220,0.489119
5.84,1571.780,0.667873
5.85,1563.459,0.636642
5.86,1563.461,0.194735
5.87,1438.028,0.017743
5.88,1049.732,0.019164
5.89,568.210,0.226413
5.90,563.014,0.346560
5.91,555.513,0.260452
5.92,546.881,0.176558
5.93,1088.657,0.153228
5.94,1092.784,0.145355
5.95,1097.523,0.102451
5.96,1095.436,0.086505
5.97,1089.840,0.083624
5.98,1085.645,0.062117
5.99,1080.536,0.011683
6.00,546.722,0.024262
6.01,1448.057,0.069464
6.02,1621.873,0.093286
6.03,1637.797,0.319783
6.04,1647.145,0.303690
6.05,1857.302,0.214058
6.06,1973.188,0.191403
6.07,1979.505,0.227984
6.08,1981.661,0.141029
6.09,1981.500,0.072624
6.10,1035.278,0.101751
6.11,940.852,0.202636
6.12,1028.744,0.331810
6.13,256.753,0.132662
6.14,347.777,0.138771
6.15,1604.560,0.297447
6.16,1597.230,0.687036
6.17,1575.443,0.582550
6.18,1562.968,0.309647
6.19,1464.939,0.145765
6.20,1424.907,0.014790
6.21,538.721,0.015017
6.22,564.170,0.098493
6.23,550.597,0.109193
6.24,340.100,0.094259
6.25,334.240,0.138163
6.26,1033.030,0.051427
6.27,1042.301,0.089358
6.28,1055.016,0.123576
6.29,1064.827,0.071023
6.30,1073.375,0.056164
6.31,1083.052,0.028107
6.32,1421.533,0.008382
6.33,1444.317,0.144025
6.34,1454.010,0.391876
6.35,1575.956,0.204801
6.36,1629.558,0.430205
6.37,1658.028,0.487585
6.38,1725.263,0.355860
6.39,1879.425,0.547776
6.40,1891.756,0.552235
6.41,1884.807,0.492182
6.42,1930.546,0.197680
6.43,377.374,0.214227
6.44,349.132,0.197557
6.45,399.585,0.178876
6.46,398.141,0.262293
6.47,1496.385,0.312498
6.48,1485.649,0.657103
6.49,1464.547,0.544867
6.50,1473.656,0.386589
6.51,1413.848,0.070308
6.52,536.993,0.012304
6.53,530.101,0.015886
6.54,567.203,0.032853
6.55,1043.367,0.052298
6.56,1051.299,0.031346
6.57,91.718,0.094073
6.58,97.586,0.111562
6.59,98.575,0.037990
6.60,1037.867,0.051055
6.61,1052.394,0.021082
6.62,1080.107,0.029406
6.63,1082.254,0.015058
6.64,1071.641,0.004904
6.65,1434.771,0.157161
6.66,1441.842,0.561785
6.67,1462.639,0.326288
6.68,1646.261,0.472768
6.69,1649.182,0.533852
6.70,1684.891,0.465617
6.71,1757.504,0.432243
6.72,1801.843,0.287863
6.73,1802.073,0.306244
6.74,1782.806,0.271769
6.75,341.422,0.193573
6.76,339.921,0.216791
6.77,1638.895,0.102251
6.78,1555.685,0.245750
6.79,1508.585,0.465097
6.80,1482.740,0.255542
6.81,357.619,0.074609
6.82,672.410,0.130507
6.83,664.768,0.589471
6.84,1310.095,0.469253
6.85,1317.020,0.356619
6.86,1320.253,0.079029
6.87,537.444,0.041979
6.88,531.243,0.026316
6.89,564.548,0.069463
6.90,542.140,0.089939
6.91,541.376,0.047704
6.92,331.358,0.044143
6.93,332.369,0.080327
6.94,1031.501,0.087940
6.95,86.806,0.220123
6.96,86.931,0.235770
6.97,1054.101,0.064979
6.98,178.042,0.044892
6.99,1415.071,0.008459
7.00,1431.942,0.274412
7.01,1450.206,0.562276
7.02,1564.464,0.153671
7.03,1645.904,0.561195
7.04,1655.588,0.605149
7.05,1695.211,0.435602
7.06,1749.571,0.373781
7.07,1763.281,0.529213
7.08,1759.108,0.644451
7.09,876.951,0.561356
7.10,880.290,0.254916
7.11,333.820,0.131251
7.12,1560.983,0.227852
7.13,1513.950,0.405067
7.14,377.606,0.176787
7.15,356.783,0.099490
7.16,345.127,0.119251
7.17,654.631,0.182807
7.18,1292.654,0.404506
7.19,1307.971,0.434376
7.20,1318.347,0.376001
7.21,541.302,0.078988
7.22,538.820,0.045857
7.23,530.962,0.026466
7.24,565.630,0.067182
7.25,555.336,0.106056
7.26,547.619,0.103554
7.27,590.576,0.088247
7.28,593.178,0.216976
7.29,594.537,0.416843
7.30,1186.479,0.062244
7.31,1047.847,0.020877
7.32,1057.305,0.020665
7.33,1079.628,0.016168
7.34,178.042,0.009084
7.35,1421.497,0.031622
7.36,1444.521,0.339909
7.37,1586.524,0.205336
7.38,1627.604,0.530574
7.39,1642.683,0.614272
7.40,1677.496,0.442319
7.41,1739.477,0.438953
7.42,1763.636,0.392394
7.43,1763.005,0.648092
7.44,1753.457,0.501710
7.45,878.740,0.247954
7.46,337.672,0.162176
7.47,523.411,0.136352
7.48,1523.500,0.206806
7.49,377.034,0.167492
7.50,353.443,0.212963
7.51,345.073,0.349401
7.52,654.613,0.261168
7.53,646.058,0.349100
7.54,1294.594,0.448478
7.55,1315.939,0.595356
7.56,1319.527,0.277300
7.57,543.860,0.094034
7.58,533.576,0.037684
7.59,570.349,0.042360
7.60,559.582,0.131934
7.61,546.483,0.092560
7.62,593.492,0.057355
7.63,598.851,0.098641
7.64,600.163,0.136117
7.65,97.814,0.033208
7.66,1039.133,0.010596
7.67,1051.918,0.023081
7.68,1058.454,0.036010
7.69,1072.172,0.010658
7.70,548.022,0.011877
7.71,1461.804,0.102236
7.72,1587.200,0.273910
7.73,1620.132,0.546589
7.74,1645.134,0.612825
7.75,1676.433,0.481873
7.76,1736.448,0.531100
7.77,1767.184,0.365789
7.78,1770.455,0.564037
7.79,1760.818,0.689075
7.80,1738.317,0.276549
7.81,1691.321,0.132122
7.82,334.662,0.088316
7.83,1564.132,0.156119
7.84,1503.010,0.281176
7.85,373.846,0.154301
7.86,350.126,0.096504
7.87,341.138,0.066459
7.88,645.141,0.305502
7.89,1279.578,0.417798
7.90,1254.308,0.355575
7.91,1319.223,0.276932
7.92,548.371,0.059554
7.93,538.014,0.070487
7.94,525.618,0.019937
7.95,570.524,0.090708
7.96,539.664,0.084774
7.97,411.052,0.052119
7.98,98.079,0.077383
7.99,98.084,0.176108
8.00,1037.125,0.091510
8.01,1047.248,0.025860
8.02,1050.330,0.017751
8.03,1050.893,0.029546
8.04,1059.733,0.017678
8.05,1068.714,0.005724
8.06,1422.516,0.015573
8.07,1444.171,0.198670
8.08,1460.036,0.172121
8.09,1615.041,0.499280
8.10,1635.902,0.655153
8.11,1649.068,0.604152
8.12,1708.515,0.358703
8.13,1757.519,0.326304
8.14,1765.392,0.541442
8.15,1758.446,0.631289
8.16,878.163,0.467593
8.17,883.348,0.164404
8.18,334.464,0.102960
8.19,1515.265,0.310479
8.20,1496.172,0.282970
8.21,373.102,0.128514
8.22,350.741,0.099207
8.23,261.926,0.070441
8.24,254.933,0.113337
8.25,1270.720,0.558237
8.26,1252.007,0.517391
8.27,1237.834,0.438421
8.28,1313.511,0.158360
8.29,547.731,0.059707
8.30,536.872,0.050752
8.31,574.908,0.031000
8.32,565.854,0.179354
8.33,547.128,0.148212
8.34,98.506,0.055014
8.35,305.678,0.095994
8.36,1029.751,0.132821
8.37,1044.553,0.090349
8.38,86.829,0.057869
8.39,86.534,0.078619
8.40,85.663,0.235608
8.41,85.917,0.133337
8.42,86.209,0.053440
8.43,88.361,0.082924
8.44,126.881,0.052459
8.45,255.974,0.154091
8.46,127.923,0.171617
8.47,129.145,0.201290
8.48,131.174,0.148385
8.49,130.281,0.150225
8.50,172.992,0.305925
8.51,174.695,0.449149
8.52,174.820,0.298313
8.53,174.632,0.311330
8.54,176.151,0.130853
8.55,129.089,0.293624
8.56,129.101,0.198817
8.57,171.412,0.256809
8.58,33.554,0.124419
8.59,33.046,0.297382
8.60,173.147,0.176985
8.61,173.646,0.195288
8.62,176.585,0.429573
8.63,178.588,0.277088
8.64,256.396,0.339387
8.65,254.421,0.227956
8.66,253.436,0.214155
8.67,124.807,0.401831
8.68,125.270,0.244686
8.69,129.088,0.188842
8.70,127.332,0.078241
8.71,173.122,0.115144
8.72,168.606,0.130898
8.73,169.865,0.160104
8.74,169.879,0.318100
8.75,33.885,0.239315
8.76,33.601,0.474225
8.77,33.860,0.316190
8.78,166.236,0.146377
8.79,173.636,0.055987
8.80,124.992,0.136776
8.81,123.866,0.067565
8.82,125.324,0.066354
8.83,126.185,0.062935
8.84,128.511,0.038003
8.85,130.653,0.150432
8.86,43.975,0.218561
8.87,129.559,0.182399
8.88,127.352,0.361901
8.89,127.450,0.298573
8.90,173.439,0.148613
8.91,259.431,0.184881
8.92,259.406,0.178558
8.93,257.206,0.195769
8.94,256.583,0.412321
8.95,127.902,0.309337
8.96,255.621,0.363157
8.97,256.133,0.358788
8.98,128.047,0.259843
8.99,32.860,0.133343
9.00,132.061,0.065163
9.01,260.093,0.165115
9.02,85.369,0.173675
9.03,85.660,0.152669
9.04,175.305,0.133738
9.05,178.343,0.243171
9.06,178.045,0.124651
9.07,177.636,0.175340
9.08,176.948,0.258938
9.09,176.987,0.444645
9.10,86.725,0.109500
9.11,167.194,0.125257
9.12,167.397,0.166175
9.13,172.440,0.081541
9.14,34.768,0.306127
9.15,172.525,0.201667
9.16,171.098,0.273594
9.17,255.225,0.202823
9.18,255.179,0.267199
9.19,178.025,0.395518
9.20,87.178,0.139390
9.21,85.928,0.118196
9.22,169.780,0.093565
9.23,167.894,0.147545
9.24,34.720,0.276193
9.25,34.854,0.377299
9.26,173.902,0.381016
9.27,171.545,0.430782
9.28,169.854,0.377217
9.29,124.036,0.148281
9.30,123.908,0.144562
9.31,34.634,0.022283
9.32,34.117,0.543483
9.33,34.183,0.353844
9.34,34.416,0.417633
9.35,174.313,0.374093
9.36,173.099,0.583726
9.37,173.262,0.497903
9.38,173.540,0.298377
9.39,170.812,0.209841
9.40,169.825,0.174392
9.41,42.842,0.158078
9.42,172.094,0.069091
9.43,34.072,0.506538
9.44,33.916,0.773651
9.45,34.264,0.275571
9.46,34.581,0.335800
9.47,34.252,0.279548
9.48,169.981,0.180690
9.49,174.761,0.272891
9.50,177.732,0.309015
9.51,176.980,0.520403
9.52,175.478,0.134219
9.53,35.048,0.059889
9.54,34.978,0.241341
9.55,34.803,0.625338
9.56,34.824,0.685901
9.57,34.577,0.626221
9.58,34.491,0.653089
9.59,34.593,0.321605
9.60,35.067,0.318923
9.61,35.041,0.621324
9.62,35.017,0.847363
9.63,34.954,0.901142
9.64,34.602,0.730046
9.65,34.273,0.600253
9.66,34.254,0.470875
9.67,34.357,0.230982
9.68,174.763,0.195336
9.69,175.104,0.133646
9.70,172.790,0.125351
9.71,171.857,0.093899
9.72,171.023,0.142559
9.73,42.584,0.132035
9.74,41.787,0.097056
9.75,40.519,0.072855
9.76,175.120,0.049192
9.77,40.426,0.050210
9.78,41.360,0.077146
9.79,138.919,0.021659
9.80,36.183,0.015017
9.81,35.536,0.058873
9.82,34.511,0.077461
9.83,34.008,0.124931
9.84,33.920,0.365242
9.85,34.045,0.326205
9.86,34.227,0.310926
9.87,34.206,0.200814
9.88,172.513,0.199684
9.89,56.592,0.106053
9.90,42.395,0.104472
9.91,42.517,0.090555
9.92,33.556,0.116737
9.93,33.359,0.138728
9.94,32.915,0.141140
9.95,33.237,0.125089
9.96,52.176,0.037958
9.97,35.415,0.069910
9.98,32.248,0.126518
9.99,32.513,0.193410
10.00,32.792,0.292415
10.01,33.157,0.334939
10.02,33.554,0.094787
10.03,48.416,0.042159
10.04,35.024,0.121087
10.05,175.445,0.264561
10.06,34.667,0.422542
10.07,42.743,0.610405
10.08,32.497,0.371671
10.09,122.757,0.091179
10.10,33.444,0.456645
10.11,33.699,0.477034
10.12,34.342,0.197484
10.13,42.858,0.128540
10.14,34.941,0.446908
10.15,34.767,0.462891
10.16,173.420,0.327995
10.17,173.651,0.135876
10.18,34.625,0.118169
10.19,42.883,0.154468
10.20,43.469,0.057204
